number,name,symbol,mass,group,period,cov_radius_slater,cov_radius_cordero
int,str,str,float,int,int,float,float
1,Hydrogen,H,1.007975,1,1,0.35,0.31
2,Helium,He,4.002602,18,1,2,0.28
3,Lithium,Li,6.9675,1,2,1.45,1.28
4,Beryllium,Be,9.0121831,2,2,1.05,0.96
5,Boron,B,10.8135,13,2,0.85,0.84
6,Carbon,C,12.0106,14,2,0.7,0.744533737
7,Nitrogen,N,14.006855,15,2,0.65,0.71
8,Oxygen,O,15.9994,16,2,0.6,0.66
9,Fluorine,F,18.99840316,17,2,0.5,0.57
10,Neon,Ne,20.1797,18,2,2.25,0.58
11,Sodium,Na,22.98976928,1,3,1.8,1.66
12,Magnesium,Mg,24.3055,2,3,1.5,1.41
13,Aluminium,Al,26.9815385,13,3,1.25,1.21
14,Silicon,Si,28.085,14,3,1.1,1.11
15,Phosphorus,P,30.973762,15,3,1,1.07
16,Sulfur,S,32.0675,16,3,1,1.05
17,Chlorine,Cl,35.4515,17,3,1,1.02
18,Argon,Ar,39.948,18,3,2.5,1.06
19,Potassium,K,39.0983,1,4,2.2,2.03
20,Calcium,Ca,40.078,2,4,1.8,1.76
21,Scandium,Sc,44.955908,3,4,1.6,1.7
22,Titanium,Ti,47.867,4,4,1.4,1.6
23,Vanadium,V,50.9415,5,4,1.35,1.53
24,Chromium,Cr,51.9961,6,4,1.4,1.39
25,Manganese,Mn,54.938044,7,4,1.4,1.553504
26,Iron,Fe,55.845,8,4,1.4,1.484179105
27,Cobalt,Co,58.933194,9,4,1.35,1.29754491
28,Nickel,Ni,58.6934,10,4,1.35,1.24
29,Copper,Cu,63.546,11,4,1.35,1.32
30,Zinc,Zn,65.38,12,4,1.35,1.22
31,Gallium,Ga,69.723,13,4,1.3,1.22
32,Germanium,Ge,72.63,14,4,1.25,1.2
33,Arsenic,As,74.921595,15,4,1.15,1.19
34,Selenium,Se,78.971,16,4,1.15,1.2
35,Bromine,Br,79.904,17,4,1.15,1.2
36,Krypton,Kr,83.798,18,4,2.75,1.16
37,Rubidium,Rb,85.4678,1,5,2.35,2.2
38,Strontium,Sr,87.62,2,5,2,1.95
39,Yttrium,Y,88.90584,3,5,1.8,1.9
40,Zirconium,Zr,91.224,4,5,1.55,1.75
41,Niobium,Nb,92.90637,5,5,1.45,1.64
42,Molybdenum,Mo,95.95,6,5,1.45,1.54
43,Technetium,Tc,98,7,5,1.35,1.47
44,Ruthenium,Ru,101.07,8,5,1.3,1.46
45,Rhodium,Rh,102.9055,9,5,1.35,1.42
46,Palladium,Pd,106.42,10,5,1.4,1.39
47,Silver,Ag,107.8682,11,5,1.6,1.45
48,Cadmium,Cd,112.414,12,5,1.55,1.44
49,Indium,In,114.818,13,5,1.55,1.42
50,Tin,Sn,118.71,14,5,1.45,1.39
51,Antimony,Sb,121.76,15,5,1.45,1.39
52,Tellurium,Te,127.6,16,5,1.4,1.38
53,Iodine,I,126.90447,17,5,1.4,1.39
54,Xenon,Xe,131.293,18,5,3,1.4
55,Caesium,Cs,132.905452,1,6,2.6,2.44
56,Barium,Ba,137.327,2,6,2.15,2.15
57,Lanthanum,La,138.90547,3,6,1.95,2.07
58,Cerium,Ce,140.116,3,6,1.85,2.04
59,Praseodymium,Pr,140.90766,3,6,1.85,2.03
60,Neodymium,Nd,144.242,3,6,1.85,2.01
61,Promethium,Pm,145,3,6,1.85,1.99
62,Samarium,Sm,150.36,3,6,1.85,1.98
63,Europium,Eu,151.964,3,6,1.85,1.98
64,Gadolinium,Gd,157.25,3,6,1.8,1.96
65,Terbium,Tb,158.92535,3,6,1.75,1.94
66,Dysprosium,Dy,162.5,3,6,1.75,1.92
67,Holmium,Ho,164.93033,3,6,1.75,1.92
68,Erbium,Er,167.259,3,6,1.75,1.89
69,Thulium,Tm,168.93422,3,6,1.75,1.9
70,Ytterbium,Yb,173.054,3,6,1.75,1.87
71,Lutetium,Lu,174.9668,3,6,1.75,1.87
72,Hafnium,Hf,178.49,4,6,1.55,1.75
73,Tantalum,Ta,180.94788,5,6,1.45,1.7
74,Tungsten,W,183.84,6,6,1.35,1.62
75,Rhenium,Re,186.207,7,6,1.35,1.51
76,Osmium,Os,190.23,8,6,1.3,1.44
77,Iridium,Ir,192.217,9,6,1.35,1.41
78,Platinum,Pt,195.084,10,6,1.35,1.36
79,Gold,Au,196.966569,11,6,1.35,1.36
80,Mercury,Hg,200.592,12,6,1.5,1.32
81,Thallium,Tl,204.3835,13,6,1.9,1.45
82,Lead,Pb,207.2,14,6,1.8,1.46
83,Bismuth,Bi,208.9804,15,6,1.6,1.48
84,Polonium,Po,209,16,6,1.9,1.4
85,Astatine,At,210,17,6,1.65,1.5
86,Radon,Rn,222,18,6,3.25,1.5
87,Francium,Fr,223,1,7,2.8,2.6
88,Radium,Ra,226,2,7,2.15,2.21
89,Actinium,Ac,227,3,7,1.95,2.15
90,Thorium,Th,232.0377,3,7,1.8,2.06
91,Protactinium,Pa,231.03588,3,7,1.8,2
92,Uranium,U,238.02891,3,7,1.75,1.96
93,Neptunium,Np,227,3,7,1.75,1.9
94,Plutonium,Pu,224,3,7,1.75,1.87
95,Americium,Am,243,3,7,1.75,1.8
96,Curium,Cm,247,3,7,1.75,1.69
97,Berkelium,Bk,247,3,7,1.75,
98,Californium,Cf,251,3,7,1.75,
99,Einsteinium,Es,252,3,7,1.75,
100,Fermium,Fm,257,3,7,1.75,
101,Mendelevium,Md,258,3,7,1.75,
102,Nobelium,No,259,3,7,1.75,
103,Lawrencium,Lr,266,3,7,1.75,
104,Rutherfordium,Rf,267,4,7,1.55,
105,Dubnium,Db,268,5,7,1.55,
106,Seaborgium,Sg,269,6,7,,
107,Bohrium,Bh,270,7,7,,
108,Hassium,Hs,277,8,7,,
109,Meitnerium,Mt,278,9,7,,
110,Darmstadtium,Ds,281,10,7,,
111,Roentgenium,Rg,282,11,7,,
112,Copernicium,Cn,285,12,7,,
113,NihoniumNihonium,Nh,286,13,7,,
114,Flerovium,Fl,289,14,7,,
115,Moscovium,Mc,290,15,7,,
116,Livermorium,Lv,293,16,7,,
117,Tennessine,Ts,294,17,7,,
118,Oganesson,Og,294,18,7,,
